course_id,course_title,category,prerequisite_ids,est_hours,course_organization,course_difficulty,course_rating
1001,Core Programming with Projects,Programming,[],7,Khan Academy,Beginner,4.8
1002,Practical Data Science in Practice,Data Science,[],5,CNCF,Beginner,4.3
1003,AI for AI with Projects,AI,"[1001,1002]",19,freeCodeCamp,Intermediate,3.9
1004,Full-Stack Web Dev Crash Course,Web Dev,[1002],23,IBM,Intermediate,3.9
1005,Serverless Cloud Complete Guide,Cloud,"[1002,1001]",27,Google Cloud,Advanced,4
1006,CI/CD DevOps with Projects,DevOps,[],14,Meta,Beginner,3.5
1007,Number Theory Mathematics Certification Prep,Mathematics,[],13,CNCF,Beginner,4.6
1008,Data Structures Computer Sci Advanced,Computer Sci,[1006],18,IIT Delhi,Intermediate,5
1009,Incident Response Cybersecurity Professional,Cybersecurity,[1006],26,freeCodeCamp,Intermediate,4.8
1010,Finance Business Specialization,Business,[1008],28,Infosys Springboard,Advanced,4.9
1011,Business English Communication Specialization,Communication,[],14,MIT OpenCourse,Beginner,3.8
1012,Design Thinking Design Certification Prep,Design,[],15,Docker Inc,Beginner,4.6
1013,Redis Database Specialization,Database,[1011],30,freeCodeCamp,Intermediate,3.8
1014,Kotlin Mobile Dev Certification Prep,Mobile Dev,[1002],26,Coursera,Intermediate,3.5
1015,Cisco CCNA Networking Complete Guide,Networking,"[1006,1002]",26,Stanford,Advanced,3.7
1016,Mastering Programming Advanced,Programming,[],13,Google Cloud,Beginner,4.3
1017,Analytics Data Science Essentials,Data Science,[],13,Google Cloud,Beginner,4.8
1018,Neural Networks AI Zero to Hero,AI,[1016],15,Meta,Intermediate,4.9
1019,Node.js Web Dev Advanced,Web Dev,[1012],19,Princeton,Intermediate,3.8
1020,AWS Cloud in Practice,Cloud,"[1017,1019]",26,Atlassian,Advanced,4.9
1021,Infrastructure DevOps Bootcamp,DevOps,[],14,Infosys Springboard,Beginner,4
1022,Number Theory Mathematics Fundamentals,Mathematics,[],7,Red Hat,Beginner,4.6
1023,Compilers Computer Sci Masterclass,Computer Sci,"[1012,1011]",27,Atlassian,Intermediate,4.2
1024,SOC Cybersecurity Complete Guide,Cybersecurity,"[1011,1006]",29,Cisco,Intermediate,3.7
1025,Project Management Business with Projects,Business,"[1009,1003,1014]",33,Red Hat,Advanced,4
1026,Technical Writing Communication Specialization,Communication,[],8,freeCodeCamp,Beginner,4.8
